"registration_date,""stolen_date"",""brand"",""model"",""province"""
"2005-06-23,""2017-01-01"",""HONDA"",""SH125"",""M"""
"2015-11-02,""2017-01-01"",""HONDA"",""ANC125"",""B"""
"2011-05-06,""2017-01-01"",""YAMAHA"",""YP125R"",""SS"""
"1995-05-12,""2017-01-01"",""HONDA"",""NH 90"",""GR"""
"2011-02-09,""2017-01-01"",""S.Y.M"",""GTS 125 EVO"",""CE"""
"1999-09-07,""2017-01-01"",""PIAGGIO"",""SKYPPER RST 125"",""M"""
"2004-11-26,""2017-01-02"",""HONDA"",""SES125"",""B"""
"2004-05-18,""2017-01-02"",""HONDA"",""SH125"",""B"""
"2008-07-18,""2017-01-02"",""HONDA"",""SH125"",""B"""
"2007-10-08,""2017-01-02"",""KYMCO"",""YAGER GT 125"",""AB"""
"2003-08-28,""2017-01-02"",""HONDA"",""SH150"",""B"""
"2008-01-28,""2017-01-02"",""JINLUN"",""VENTURA 125"",""TF"""
"2008-04-16,""2017-01-02"",""PIAGGIO"",""LIBERTY 125"",""B"""
"2007-10-04,""2017-01-02"",""HONDA"",""SES125"",""B"""
"2016-08-30,""2017-01-02"",""HONDA"",""SH125D"",""B"""
"1993-06-11,""2017-01-02"",""KAWASAKI"",""ZXR750"",""MA"""
"2014-10-09,""2017-01-02"",""HONDA"",""SH125D"",""B"""
"2016-06-24,""2017-01-02"",""BMW"",""F 700 GS"",""M"""
"2007-01-26,""2017-01-02"",""HONDA"",""SH125"",""L"""
"2007-10-01,""2017-01-02"",""SUZUKI"",""GSX R750"",""M"""
"1986-09-10,""2017-01-02"",""VESPA"",""PK 75 S"",""IB"""
"1999-04-14,""2017-01-02"",""BMW"",""K 1200 LT"",""M"""
"1998-12-23,""2017-01-02"",""KTM"",""600 GS"",""SE"""
"1988-06-29,""2017-01-02"",""CAGIVA"",""ALETTA ROSSA 125"",""TE"""
"2014-08-18,""2017-01-03"",""YAMAHA"",""YP400RA"",""B"""
"2002-04-25,""2017-01-03"",""TRIUMPH"",""BONNEVILLE"",""B"""
"2015-03-09,""2017-01-03"",""PIAGGIO"",""VESPA PRIMAVERA"",""B"""
"2005-03-23,""2017-01-03"",""YAMAHA"",""DT125X"",""A"""
"2015-07-07,""2017-01-03"",""HONDA"",""SH125D"",""B"""
"2004-04-30,""2017-01-03"",""PIAGGIO"",""X9 125 EVOLUTION"",""B"""
"2015-03-18,""2017-01-03"",""KYMCO"",""AGILITY CITY 125"",""M"""
"2006-08-04,""2017-01-03"",""HYOSUNG"",""GT 125 COMET"",""SE"""
"2015-06-26,""2017-01-03"",""RIDE"",""ZENTO 125"",""IB"""
"2005-07-05,""2017-01-03"",""HONDA"",""SH125"",""B"""
"2005-07-08,""2017-01-03"",""HONDA"",""SH 125"",""B"""
"2007-10-25,""2017-01-03"",""APRILIA"",""SPORT CITY 125"",""T"""
"2015-01-02,""2017-01-03"",""YAMAHA"",""XP500"",""SA"""
"2015-08-06,""2017-01-03"",""HONDA"",""SH300A"",""B"""
"1994-03-31,""2017-01-03"",""HONDA"",""NH90 YUPI"",""B"""
"2006-01-17,""2017-01-03"",""MONKEY BIKES"",""MB 110 D"",""TF"""
"1995-07-04,""2017-01-03"",""PIAGGIO"",""SKIPPER 150"",""O"""
"2007-01-17,""2017-01-03"",""YAMAHA"",""YP250R"",""B"""
"2009-04-01,""2017-01-03"",""PIAGGIO"",""X 7 125"",""SE"""
"2015-01-13,""2017-01-03"",""YAMAHA"",""YP125R"",""V"""
"2016-05-05,""2017-01-04"",""PIAGGIO"",""VESPA SPRINT"",""V"""
"2012-01-11,""2017-01-04"",""YAMAHA"",""YP250R"",""SE"""
"2013-04-05,""2017-01-04"",""PIAGGIO"",""VESPA PX125"",""VA"""
"2011-05-05,""2017-01-04"",""HONDA"",""WW125EX2"",""SE"""
"2008-08-14,""2017-01-04"",""YAMAHA"",""YZF R6"",""MA"""
"2006-09-01,""2017-01-04"",""HONDA"",""SH150"",""B"""
"2006-08-08,""2017-01-04"",""PIAGGIO"",""VESPA LX 125"",""V"""
"2012-07-03,""2017-01-04"",""KYMCO"",""G5"",""IB"""
"2016-10-03,""2017-01-04"",""HONDA"",""SH125D"",""B"""
"1991-06-05,""2017-01-04"",""DERBI"",""GPR 75"",""M"""
"2012-12-12,""2017-01-04"",""PEUGEOT"",""TWWET"",""TF"""
"2005-05-13,""2017-01-04"",""PIAGGIO"",""X8 200"",""M"""
"2010-06-25,""2017-01-04"",""HONDA"",""WW125EX2"",""T"""
"1992-04-21,""2017-01-04"",""YAMAHA"",""3YT XT350"",""BA"""
"2006-06-09,""2017-01-04"",""HONDA"",""SES125"",""CO"""
"2005-05-26,""2017-01-04"",""YAMAHA"",""NXC125"",""MA"""
"2016-10-18,""2017-01-04"",""S.Y.M"",""JOYMAX 125I SPORT"",""M"""
"1997-05-20,""2017-01-04"",""PIAGGIO"",""TYPHOON 125"",""O"""
"2009-07-02,""2017-01-04"",""KYMCO"",""SUPER DINK 125"",""M"""
"1993-05-25,""2017-01-04"",""HONDA"",""NH 90- YUPI"",""MA"""
"1990-05-16,""2017-01-04"",""VESPA"",""TX 200"",""V"""
"2013-12-20,""2017-01-05"",""KYMCO"",""AGILITY CITY 125"",""M"""
"2014-07-09,""2017-01-05"",""KEEWAY"",""LOGIK 125"",""B"""
"2011-05-10,""2017-01-05"",""PIAGGIO"",""VESPA PX125"",""B"""
"1999-11-04,""2017-01-05"",""HONDA"",""SH100"",""B"""
"2013-10-23,""2017-01-05"",""YAMAHA"",""YP400R"",""B"""
"2006-06-20,""2017-01-05"",""SUZUKI"",""UH125"",""B"""
"2015-02-18,""2017-01-05"",""KYMCO"",""SUPER DINK 125"",""M"""
"2003-10-01,""2017-01-05"",""KTM"",""250 EXC"",""LE"""
"2009-04-21,""2017-01-05"",""BUELL"",""XB9SX"",""M"""
"2016-05-27,""2017-01-05"",""HONDA"",""NSC110MPD"",""B"""
"2008-05-28,""2017-01-05"",""YAMAHA"",""YP 125 E"",""A"""
"2010-01-13,""2017-01-05"",""GAS-GAS"",""TG"",""B"""
"2010-01-11,""2017-01-05"",""BETA"",""EVO 300 4T"",""B"""
"2013-08-06,""2017-01-05"",""KYMCO"",""K XCT 125"",""M"""
"2016-11-07,""2017-01-05"",""KEEWAY"",""FLAME  RKV  TITANIC"",""IB"""
"2015-07-17,""2017-01-05"",""PIAGGIO"",""LIBERTY 125 3V"",""B"""
"2011-05-27,""2017-01-05"",""HONDA"",""WW125EX2"",""B"""
"2008-08-29,""2017-01-05"",""KYMCO"",""BETÑWIN 125"",""B"""
"1990-06-25,""2017-01-05"",""YAMAHA"",""SR 250"",""MA"""
"2016-04-11,""2017-01-05"",""KTM"",""KTM 350 EXC-F"",""LE"""
"2002-07-31,""2017-01-06"",""HONDA"",""SH100"",""B"""
"2005-04-20,""2017-01-06"",""HONDA"",""SH125"",""MA"""
"2005-08-31,""2017-01-06"",""HONDA"",""SH125"",""B"""
"2007-01-17,""2017-01-06"",""HONDA"",""SES 125"",""B"""
"2017-01-02,""2017-01-06"",""S.Y.M"",""SYMPHONY 125 ST"",""B"""
"2015-07-28,""2017-01-06"",""HONDA"",""SH125D"",""B"""
"2004-03-05,""2017-01-06"",""YAMAHA"",""WR450F"",""B"""
"2015-10-09,""2017-01-07"",""HONDA"",""SH125AD"",""B"""
"2016-02-29,""2017-01-07"",""HONDA"",""SH125AD"",""B"""
"2013-12-26,""2017-01-07"",""HONDA"",""WW125"",""A"""
"2006-02-17,""2017-01-07"",""HONDA"",""CRF450X"",""M"""
"2016-08-22,""2017-01-07"",""PIAGGIO"",""----"",""MA"""
"2016-08-30,""2017-01-07"",""TRIUMPH"",""BONNEVILLE NEWCHURCH"",""B"""
"1989-01-19,""2017-01-07"",""HONDA"",""NSR75F"",""B"""
"2014-05-21,""2017-01-07"",""HONDA"",""SH125D"",""B"""
"2002-03-01,""2017-01-07"",""HONDA"",""CB TWO"",""B"""
"2013-02-20,""2017-01-07"",""YAMAHA"",""XP500"",""B"""
"2008-04-10,""2017-01-08"",""HONDA"",""SH300"",""B"""
"2014-12-02,""2017-01-08"",""YAMAHA"",""XP500A"",""B"""
"2007-10-03,""2017-01-08"",""APRILIA"",""SPORT CITY 125"",""B"""
"1999-09-07,""2017-01-08"",""PIAGGIO"",""RUNNER 125"",""SS"""
"2016-11-04,""2017-01-08"",""KAWASAKI"",""Z800"",""B"""
"2009-03-13,""2017-01-09"",""YAMAHA"",""YZF-R125"",""B"""
"2015-05-22,""2017-01-09"",""YAMAHA"",""CIGNUS-X"",""CA"""
"2014-01-30,""2017-01-09"",""BMW"",""F 800R"",""B"""
"2016-01-07,""2017-01-09"",""HONDA"",""SH300A"",""B"""
"2005-07-01,""2017-01-09"",""HONDA"",""SES 125"",""MA"""
"2000-06-15,""2017-01-09"",""SUZUKI"",""GS500EY"",""V"""
"2008-03-28,""2017-01-09"",""BETA"",""REV3"",""V"""
"2013-12-17,""2017-01-09"",""S.Y.M"",""SYMPHONY"",""M"""
"2011-10-18,""2017-01-09"",""YAMAHA"",""YP250RA"",""M"""
"2004-06-04,""2017-01-09"",""BETA"",""REV 3"",""V"""
"2010-09-28,""2017-01-09"",""HUSQVARNA"",""TE 310"",""ML"""
"2004-03-26,""2017-01-09"",""BETA"",""REV-3"",""V"""
"2011-04-27,""2017-01-09"",""PEUGEOT"",""TWEET 125"",""CA"""
"2007-05-14,""2017-01-09"",""HONDA"",""CBR600F"",""B"""
"2016-03-07,""2017-01-09"",""HONDA"",""SH300A"",""B"""
"2011-01-25,""2017-01-09"",""YAMAHA"",""XP500"",""B"""
"2013-09-27,""2017-01-09"",""HONDA"",""SH125AD"",""V"""
"2007-03-28,""2017-01-09"",""HONDA"",""CBR600RR"",""M"""
"2005-07-05,""2017-01-09"",""YAMAHA"",""XP500"",""TO"""
"2004-05-13,""2017-01-09"",""HONDA"",""CBR 1000 RR"",""B"""
"2007-05-15,""2017-01-09"",""KYMCO"",""GRAND DINK 125"",""MA"""
"2000-06-23,""2017-01-10"",""PIAGGIO"",""SKYPPER RST 125"",""PO"""
"2013-07-25,""2017-01-10"",""PEUGEOT"",""TWEET"",""M"""
"2015-05-28,""2017-01-10"",""YAMAHA"",""XP500"",""B"""
"2011-05-05,""2017-01-10"",""SUZUKI"",""UH 125"",""M"""
"2005-09-29,""2017-01-10"",""KYMCO"",""GRAND DINK"",""M"""
"2014-05-08,""2017-01-10"",""KEEWAY"",""TX125"",""IB"""
"2015-05-08,""2017-01-10"",""KAWASAKI"",""Z800 ABS"",""B"""
"2010-07-07,""2017-01-10"",""DORTON"",""D-125-10 SUNNY-125"",""B"""
"2009-12-01,""2017-01-10"",""HONDA"",""SH125"",""B"""
"2015-08-05,""2017-01-10"",""HONDA"",""NSS125AD"",""B"""
"2016-06-27,""2017-01-10"",""YAMAHA"",""GPD125-A"",""B"""
"2000-11-03,""2017-01-10"",""HONDA"",""SH 100"",""B"""
"2011-08-05,""2017-01-10"",""TRIUMPH"",""SPRINT ST 1050C"",""M"""
"2011-10-20,""2017-01-10"",""YAMAHA"",""YP250RA"",""B"""
"2000-05-17,""2017-01-10"",""PIAGGIO"",""LIBERTY 150-4T"",""B"""
"2016-06-30,""2017-01-10"",""HONDA"",""SH125AD"",""B"""
"2010-08-12,""2017-01-10"",""HONDA"",""SH125"",""MA"""
"1999-06-09,""2017-01-10"",""HONDA"",""SH100"",""B"""
"2016-03-03,""2017-01-10"",""KAWASAKI"",""Z800"",""B"""
"2008-04-11,""2017-01-10"",""MALAGUTI"",""CENTRO 125"",""ML"""
"2011-06-07,""2017-01-11"",""DERBI"",""RAMBLA 300"",""IB"""
"1998-12-22,""2017-01-11"",""PIAGGIO"",""VESPA PX 200 E"",""B"""
"2016-05-31,""2017-01-11"",""YAMAHA"",""GPD125-A"",""GI"""
"2002-12-05,""2017-01-11"",""HONDA"",""SH150"",""B"""
"2004-04-16,""2017-01-11"",""SUZUKI"",""UH150"",""M"""
"2010-08-09,""2017-01-11"",""KYMCO"",""SUPER DINK 300I"",""SE"""
"2007-11-29,""2017-01-11"",""PIAGGIO"",""X EVO 125"",""M"""
"2015-10-07,""2017-01-11"",""YAMAHA"",""XP500"",""B"""
"1987-08-14,""2017-01-11"",""VESPA"",""PK 125 ELESTART"",""MA"""
"2001-07-16,""2017-01-11"",""PIAGGIO"",""VESPA 200"",""B"""
"2006-07-06,""2017-01-11"",""HONDA"",""SH125"",""MA"""
"2016-11-30,""2017-01-11"",""HONDA"",""SH125AD"",""B"""
"1981-09-16,""2017-01-11"",""LAMBRETTA"",""150 SP"",""MA"""
"2005-07-22,""2017-01-11"",""SUZUKI"",""UH125"",""B"""
"1995-08-09,""2017-01-11"",""VESPA"",""SKIPPER 150"",""M"""
"2015-04-28,""2017-01-11"",""YAMAHA"",""YP250R"",""B"""
"1968-07-24,""2017-01-11"",""BULTACO"",""LOBITO"",""B"""
